Название факультатива,Студент,Преподаватель
Математика,Иван Иванов,Петр Сидоров
Физика,Петр Петров,Ольга Иванова
Химия,Мария Смирнова,Сергей Кузнецов
История,Алексей Козлов,Анна Петрова
Литература,Екатерина Иванова,Дмитрий Сидоров
Английский язык,Максим Петров,Елена Кузнецова
Информатика,Светлана Козлова,Андрей Иванов
Биология,Николай Смирнов,Татьяна Петрова
География,Анна Кузнецова,Василий Сидоров
Музыка,Дмитрий Иванов,Ирина Иванова
Рисование,Елена Козлова,Михаил Петров
Спорт,Сергей Иванов,Наталья Кузнецова
Программирование,Ольга Петрова,Александр Сидоров
Экономика,Василий Козлов,Мария Иванова
Право,Татьяна Петрова,Иван Кузнецов
Социология,Андрей Смирнов,Ольга Козлова
